Location,PSF
10 Sector Dwarka,6666.666666666667
3 Dwarka Sector 9 Road,8301.1583011583
75 Sector 22 Road,7505.773672055428
77 Sector 6 Road,4334.3653250774
78 Sector 6 Road,11574.074074074075
79 Sector 23 Road,3846.153846153846
85 Sector 22 Road,5678.233438485804
86 Sector 21 Road,9067.357512953367
Abul Fazal Enclave Jamia Nagar,14888.888888888889
Alaknanda,11856.883258820646
Alaknanda Gangotri Enclave,13250.0
Anand Lok,3062.5
Anand Niketan,2500.0
Anarkali Colony,14430.01443001443
Ansal Satbari,2914.238134887594
Azad Apartments,10833.333333333334
Babarpur,6040.723981900452
Badarpur,8028.654485049834
Bamnoli Sector 28 Dwarka,10000.0
Batla House Jamia Nagar,12500.0
Bharat Vihar,4228.095515595515
Bharthal,11600.0
Bindapur,5687.074911548029
Block 18,9277.777777777777
Block A,3805.5555555555557
Block C,11457.671957671957
Block D,11555.555555555555
Block GH5,14666.666666666666
Block H,12277.777777777777
Block SD Delhi,5555.555555555556
Budh Vihar,7328.703703703704
Burari,4760.2596394641705
CVD Line,4990.925589836661
Chanakya Puri,4090.909090909091
Chattarpur,4446.998211237566
Chhattarpur Enclave Phase1,14166.666666666666
Chittaranjan Park,13218.2575830815
DLF Farms,5240.7754846779235
DLF Golf Course,9729.72972972973
DLF Phase 5,8150.78960774325
Dabri,6333.333333333333
Dashrath Puri,5538.461538461538
Delhi,8072.15055987311
Delhi Meerut Expressway,6119.578769603647
Dwarka 11 Sector,2972.972972972973
Dwarka Mor,5250.259953088139
Dwarka More,12108.379847771866
Dwarka Sector3,9444.444444444445
Dwarka sec 6,10277.777777777777
East of Kailash,10375.992063492064
Faridabad Gurgaon Road,15000.0
Ghitorni,2676.056338028169
Govindpuri,4607.046437231914
Greater Kailash,4064.8274829953725
Greater Kailash II,7894.736842105263
Greater kailash 1,7504.555555555557
Gulmohar Enclave,8833.333333333334
Gurgaon Delhi Expressway,10874.80291246656
Hari Nagar,5408.002346004915
Hauz Khas,6370.233581824636
Hauz Khas Enclave,8305.647840531561
IP Extension,4000.0
Jamia Nagar,4329.578811937113
Jasola,9552.974679929484
Jasola Vihar Sector 8 Road,8331.02468641699
Jogabai Extension New Delhi,3535.3535353535353
Jor bagh,5632.360471070148
KMP Expressway,10000.0
Kailash Colony,16363.636363636364
Kalkaji,11458.37784429429
Kalkaji Extension,12500.0
