Location,LocationPremium
10 Sector Dwarka,2.7450980392156867
3 Dwarka Sector 9 Road,3.4181240063593004
75 Sector 22 Road,3.0906126884934113
77 Sector 6 Road,1.7847386632671647
78 Sector 6 Road,4.765795206971678
79 Sector 23 Road,1.5837104072398192
85 Sector 22 Road,2.338096121729449
86 Sector 21 Road,3.7336177994513866
Abul Fazal Enclave Jamia Nagar,6.130718954248366
Alaknanda,4.882246047749678
Alaknanda Gangotri Enclave,5.455882352941177
Anand Lok,1.2610294117647058
Anand Niketan,1.0294117647058825
Anarkali Colony,5.941770647653001
Ansal Satbari,1.199980408483127
Azad Apartments,4.46078431372549
Babarpur,2.4873569337237154
Badarpur,3.3059165526675787
Bamnoli Sector 28 Dwarka,4.11764705882353
Batla House Jamia Nagar,5.147058823529412
Bharat Vihar,1.7409805064216828
Bharthal,4.776470588235294
Bindapur,2.341736728284483
Block 18,3.820261437908497
Block A,1.5669934640522878
Block C,4.7178649237472765
Block D,4.758169934640523
Block GH5,6.03921568627451
Block H,5.055555555555555
Block SD Delhi,2.2875816993464055
Budh Vihar,3.0177015250544668
Burari,1.9601069103675997
CVD Line,2.0550870075798016
Chanakya Puri,1.6844919786096257
Chattarpur,1.831116910509586
Chhattarpur Enclave Phase1,5.833333333333333
Chittaranjan Park,5.442811945974736
DLF Farms,2.1579663760438508
DLF Golf Course,4.006359300476948
DLF Phase 5,3.356207485541338
Dabri,2.607843137254902
Dashrath Puri,2.2805429864253393
Delhi,3.323826701124222
Delhi Meerut Expressway,2.519826552189737
Dwarka 11 Sector,1.2241653418124008
Dwarka Mor,2.161871745389234
Dwarka More,4.9858034667295925
Dwarka Sector3,3.8888888888888893
Dwarka sec 6,4.23202614379085
East of Kailash,4.2724673202614385
Faridabad Gurgaon Road,6.176470588235294
Ghitorni,1.1019055509527755
Govindpuri,1.897019121213141
Greater Kailash,1.6737524929980947
Greater Kailash II,3.2507739938080498
Greater kailash 1,3.0901111111111117
Gulmohar Enclave,3.6372549019607847
Gurgaon Delhi Expressway,4.477860022780349
Hari Nagar,2.226824495413789
Hauz Khas,2.623037357221909
Hauz Khas Enclave,3.4199726402188784
IP Extension,1.647058823529412
Jamia Nagar,1.7827677460917524
Jasola,3.933577809382729
Jasola Vihar Sector 8 Road,3.4304219297011134
Jogabai Extension New Delhi,1.4557338086749851
Jor bagh,2.3192072527935905
KMP Expressway,4.11764705882353
Kailash Colony,6.737967914438503
Kalkaji,4.718155582944708
Kalkaji Extension,5.147058823529412
Kalkaji Govindpuri,3.6715686274509802
Kamla Nagar,1.6459615158521772
KarKardooma,4.742547425474255
Karampura,4.3496271748135875
Karol Bagh,3.217535462828273
Katwaria Sarai,1.5372549019607844
Kaushambi,1.6575113122171945
Khanpur,1.5372549019607844
Khanpur Deoli,1.8300653594771243
Khari Baoli Road,3.069322217075807
Krishna Nagar,4.201680672268908
Krishna Park Jawahar Park,5.666486778197518
Kundli,3.1603642692819442
Lajpat Nagar,4.506535947712419
Lajpat Nagar III,4.574509803921568
Lalita Park,2.6606334841628962
MBS Nagar Block WZ,5.718954248366013
Madhu Vihar,2.0969498910675384
Mahavir Enclave,2.338675067181855
Mahipalpur,1.4815455594002307
Mandi House,2.6143790849673203
